中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,201 ms,80 Mbps,10240 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,264 Mbps,33894 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,277 ms,0 Mbps,119 kB/s
138.3.215.28,443,129.159.32.14,US,San Jose,隧道,229 ms,35 Mbps,4524 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,202 ms,91 Mbps,11673 kB/s
138.2.105.213,443,138.2.105.213,SG,Singapore,中转,263 ms,94 Mbps,12083 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,69 ms,428 Mbps,54886 kB/s
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,269 ms,31 Mbps,3970 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,217 ms,63 Mbps,8090 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,228 ms,2 Mbps,276 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,119 ms,29 Mbps,3788 kB/s
152.69.171.12,443,152.69.171.12,AU,Sydney,中转,220 ms,30 Mbps,3954 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,221 ms,41 Mbps,5358 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,243 ms,35 Mbps,4500 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,234 ms,0 Mbps,122 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,257 ms,35 Mbps,4517 kB/s
140.83.81.109,443,140.83.81.109,JP,Osaka,中转,244 ms,32 Mbps,4190 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,215 ms,30 Mbps,3842 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,212 ms,35 Mbps,4545 kB/s
158.101.142.100,443,2a09:bac5:4428:dc::16:22a,JP,Tokyo,隧道,255 ms,72 Mbps,9281 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,223 ms,78 Mbps,10035 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,238 ms,6 Mbps,894 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,32 ms,793 Mbps,101580 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,70 ms,462 Mbps,59187 kB/s
141.148.238.27,443,2a0b:21c0:100a:1b6:0:4476:81cb:fc8f,DE,Frankfurt,隧道,168 ms,260 Mbps,33382 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,28 ms,79 Mbps,10137 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,75 ms,344 Mbps,44134 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,84 ms,320 Mbps,41062 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,64 ms,8 Mbps,1143 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,79 ms,121 Mbps,15564 kB/s
144.22.252.124,443,144.22.252.124,BR,S
