中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,484 Mbps,62054 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,13 ms,704 Mbps,90112 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,77 ms,381 Mbps,48844 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,80 ms,251 Mbps,32153 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,11 ms,505 Mbps,64716 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,242 Mbps,31027 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,70 ms,555 Mbps,71065 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,98 ms,40 Mbps,5214 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,43 ms,552 Mbps,70758 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,113 ms,260 Mbps,33382 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,78 ms,439 Mbps,56217 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,68 ms,42 Mbps,5437 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,98 ms,36 Mbps,4641 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,99 ms,400 Mbps,51302 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,104 ms,192 Mbps,24678 kB/s
152.70.53.38,443,2a0b:21c0:100a:1b4:0:bee2:bab9:c093,DE,Frankfurt,隧道,117 ms,100 Mbps,12800 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,185 ms,242 Mbps,31027 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,110 ms,111 Mbps,14233 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,67 ms,427 Mbps,54681 kB/s
132.226.31.178,443,2a09:bac1:76c0:e18::1bd:fb,US,Los Angeles,隧道,82 ms,48 Mbps,6241 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,68 ms,49 Mbps,6360 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,214 ms,125 Mbps,16076 kB/s
