中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac5:60eb:1173::1bd:ed,US,Los Angeles,隧道,98 ms,65 Mbps,8433 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,143 ms,218 Mbps,27955 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,87 ms,286 Mbps,36659 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,24 Mbps,3165 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,117 ms,86 Mbps,11059 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,238 ms,135 Mbps,17305 kB/s
130.162.226.73,443,2a0b:21c0:1007:1c9:0:771c:d57:5693,DE,Frankfurt,隧道,100 ms,247 Mbps,31641 kB/s
138.2.225.254,443,138.2.225.254,US,San Jose,中转,91 ms,298 Mbps,38195 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,199 ms,80 Mbps,10342 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,193 ms,89 Mbps,11468 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,89 ms,50 Mbps,6419 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,79 ms,21 Mbps,2689 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,77 ms,1 Mbps,229 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,78 ms,300 Mbps,38502 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,206 ms,30 Mbps,3928 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,191 ms,227 Mbps,29081 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,202 ms,88 Mbps,11366 kB/s
150.230.34.116,443,150.230.34.116,US,San Jose,中转,82 ms,139 Mbps,17817 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,89 ms,43 Mbps,5628 kB/s
129.159.253.123,443,2a0b:21c0:1007:c7:0:fa9:27b9:96eb,DE,Frankfurt,隧道,111 ms,113 Mbps,14540 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,78 ms,24 Mbps,3076 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,86 ms,421 Mbps,53964 kB/s
141.144.193.7,443,2a0b:21c0:1007:1c9:0:c3fd:150e:2a7e,DE,Frankfurt,隧道,95 ms,128 Mbps,16486 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,103 ms,217 Mbps,27852 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,139 ms,260 Mbps,33280 kB/s
140.238.212.95,443,140.238.212.95,CH,Milan,中转,105 ms,49 Mbps,6286 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,49 ms,423 Mbps,54169 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,206 ms,84 Mbps,10752 kB/s
144.24.168.166,443,2606:f240:f00:5a42:0:d943:f2cd:9f12,US,Frankfurt,隧道,123 ms,163 Mbps,20889 kB/s
158.101.206.253,443,2606:f240:f00:46c4:0:3aca:d795:13c8,US,Frankfurt,隧道,103 ms,128 Mbps,16486 kB/s
146.56.46.84,443,2603:c022:8007:a810::dcba,KR,Seoul,隧道,209 ms,36 Mbps,4620 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,233 ms,2 Mbps,316 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,253 ms,56 Mbps,7191 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,240 ms,89 Mbps,11468 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,212 ms,74 Mbps,9489 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,206 ms,31 Mbps,4008 kB/s
157.254.252.198,443,157.254.252.198,JP,Tokyo,中转,179 ms,101 Mbps,13004 kB/s
131.186.57.111,443,131.186.57.111,JP,Tokyo,中转,285 ms,56 Mbps,7265 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,103 ms,229 Mbps,29388 kB/s
152.67.222.167,443,152.67.222.167,KR,Seoul,中转,221 ms,37 Mbps,4823 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,101 ms,219 Mbps,28057 kB/s
138.2.66.92,443,138.2.66.92,SG,Singapore,中转,229 ms,57 Mbps,7413 kB/s
132.145.80.224,443,132.145.80.224,KR,Seoul,中转,224 ms,78 Mbps,10035 kB/s
158.101.148.105,443,158.101.148.105,JP,Tokyo,中转,243 ms,37 Mbps,4770 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,239 ms,59 Mbps,7626 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,236 ms,31 Mbps,3981 kB/s
152.69.171.12,443,152.69.171.12,AU,Sydney,中转,247 ms,33 Mbps,4346 kB/s
138.2.105.213,443,138.2.105.213,SG,Singapore,中转,245 ms,100 Mbps,12800 kB/s
152.70.97.78,443,152.70.97.78,JP,Tokyo,中转,237 ms,69 Mbps,8916 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,250 ms,0 Mbps,53 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,218 ms,44 Mbps,5759 kB/s
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,230 ms,36 Mbps,4684 kB/s
8.220.213.202,443,8.220.213.202,KR,Seoul,中转,199 ms,3 Mbps,466 kB/s
141.147.161.58,443,141.147.161.58,JP,Tokyo,中转,222 ms,63 Mbps,8111 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,169 ms,1 Mbps,142 kB/s
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,238 ms,33 Mbps,4334 kB/s
168.138.209.31,443,2a09:bac1:3b60:138::16:1c1,JP,Tokyo,隧道,258 ms,1 Mbps,132 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,239 ms,0 Mbps,19 kB/s
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,12 ms,0 Mbps,4 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,30 ms,888 Mbps,113664 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,224 ms,68 Mbps,8715 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,115 ms,50 Mbps,6497 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,110 ms,49 Mbps,6327 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,62 ms,63 Mbps,8187 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,39 ms,110 Mbps,14131 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,116 ms,22 Mbps,2877 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,136 ms,285 Mbps,36556 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,126 ms,44 Mbps,5707 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,136 ms,46 Mbps,5963 kB/s
144.22.252.124,443,144.22.252.124,BR,S
