中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,28 ms,79 Mbps,10137 kB/s,10137.0
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,234 ms,79 Mbps,10137 kB/s,10137.0
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,223 ms,78 Mbps,10035 kB/s,10035.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,224 ms,77 Mbps,9978 kB/s,9978.0
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,239 ms,76 Mbps,9840 kB/s,9840.0
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,191 ms,75 Mbps,9716 kB/s,9716.0
158.101.142.100,443,2a09:bac5:4428:dc::16:22a,JP,Tokyo,隧道,255 ms,72 Mbps,9281 kB/s,9281.0
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,231 ms,68 Mbps,8812 kB/s,8812.0
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,216 ms,67 Mbps,8634 kB/s,8634.0
168.138.184.172,443,168.138.184.172,SG,Singapore,中转,237 ms,66 Mbps,8557 kB/s,8557.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,199 ms,65 Mbps,8359 kB/s,8359.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,239 ms,65 Mbps,8350 kB/s,8350.0
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,239 ms,64 Mbps,8288 kB/s,8288.0
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,217 ms,63 Mbps,8090 kB/s,8090.0
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,236 ms,61 Mbps,7924 kB/s,7924.0
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,7 ms,61 Mbps,7918 kB/s,7918.0
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,235 ms,57 Mbps,7367 kB/s,7367.0
129.150.51.134,443,129.150.51.134,SG,Singapore,中转,238 ms,56 Mbps,7212 kB/s,7212.0
