中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
158.101.142.100,443,2a09:bac5:4428:dc::16:22a,JP,Tokyo,隧道,180 ms,138 Mbps,17715 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,145 ms,45 Mbps,5789 kB/s
146.56.46.84,443,2603:c022:8007:a810::dcba,KR,Seoul,隧道,144 ms,43 Mbps,5617 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,182 ms,24 Mbps,3176 kB/s
129.159.194.174,443,129.159.32.14,US,San Jose,隧道,146 ms,38 Mbps,4985 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,141 ms,128 Mbps,16486 kB/s
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,219 ms,33 Mbps,4323 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,233 ms,31 Mbps,4041 kB/s
141.147.71.19,443,2a0b:21c0:1007:1cb:0:a421:8dd0:74d1,DE,Frankfurt,隧道,205 ms,125 Mbps,16076 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,146 ms,29 Mbps,3736 kB/s
141.148.230.140,443,2606:f240:f00:dd8d:0:27c1:cd9f:3ab9,US,Frankfurt,隧道,158 ms,146 Mbps,18739 kB/s
130.162.164.181,443,163.123.193.5,DE,Frankfurt,隧道,198 ms,136 Mbps,17510 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,187 ms,99 Mbps,12697 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,254 ms,59 Mbps,7643 kB/s
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,221 ms,40 Mbps,5222 kB/s
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,184 ms,40 Mbps,5154 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,196 ms,82 Mbps,10547 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,188 ms,15 Mbps,1984 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,223 ms,61 Mbps,7812 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,202 ms,126 Mbps,16179 kB/s
130.162.144.191,443,2a09:bac5:4752:155::22:12b,KR,Seoul,隧道,201 ms,40 Mbps,5140 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,131 ms,2 Mbps,331 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,74 ms,40 Mbps,5172 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,42 ms,9 Mbps,1235 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,49 ms,59 Mbps,7591 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,26 ms,70 Mbps,9034 kB/s
129.146.168.102,443,2a09:bac5:60eb:1173::1bd:b6,US,Los Angeles,隧道,34 ms,37 Mbps,4816 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,49 ms,67 Mbps,8610 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,202 ms,40 Mbps,5237 kB/s
141.144.201.120,443,2606:f240:f00:2be4:0:e920:ec2d:41bf,US,Frankfurt,隧道,205 ms,127 Mbps,16281 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,32 ms,1024 Mbps,131072 kB/s
141.148.243.188,443,2a0b:21c0:100a:1fa:0:6a91:d7b:fb8f,DE,Frankfurt,隧道,197 ms,142 Mbps,18227 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,188 ms,140 Mbps,18022 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,189 ms,135 Mbps,17305 kB/s
138.2.66.92,443,138.2.66.92,SG,Singapore,中转,232 ms,92 Mbps,11776 kB/s
47.90.141.204,443,91.149.239.252,US,Los Angeles,隧道,67 ms,33 Mbps,4245 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,172 ms,24 Mbps,3101 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,171 ms,143 Mbps,18329 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,141 ms,130 Mbps,16691 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,135 ms,23 Mbps,3049 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,224 ms,40 Mbps,5212 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,140 ms,35 Mbps,4541 kB/s
8.219.80.184,443,8.219.80.184,SG,Singapore,中转,287 ms,58 Mbps,7445 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,162 ms,43 Mbps,5568 kB/s
193.123.179.4,443,2a0b:21c0:100a:1b5:0:4f3:664f:4826,DE,Frankfurt,隧道,177 ms,100 Mbps,12800 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,169 ms,99 Mbps,12697 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,158 ms,20 Mbps,2618 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,142 ms,114 Mbps,14643 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,296 ms,0 Mbps,107 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,191 ms,100 Mbps,12800 kB/s
193.123.81.105,443,193.123.81.105,AE,Marseille,中转,313 ms,40 Mbps,5148 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,145 ms,116 Mbps,14848 kB/s
138.3.215.28,443,129.159.32.14,US,San Jose,隧道,198 ms,40 Mbps,5148 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,101 ms,40 Mbps,5227 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,205 ms,0 Mbps,22 kB/s
8.220.213.202,443,8.220.213.202,KR,Seoul,中转,135 ms,25 Mbps,3271 kB/s
47.57.14.118,443,198.11.178.111,US,San Jose,隧道,193 ms,0 Mbps,32 kB/s
