中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,214 ms,75 Mbps,9609 kB/s
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,258 ms,30 Mbps,3944 kB/s
158.101.142.100,443,2a09:bac5:4428:dc::16:22a,JP,Tokyo,隧道,257 ms,71 Mbps,9128 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,170 ms,87 Mbps,11161 kB/s
146.56.179.91,443,146.56.179.91,KR,Seoul,中转,226 ms,0 Mbps,65 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,217 ms,57 Mbps,7360 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,242 ms,2 Mbps,368 kB/s
152.70.61.138,443,2606:f240:f00:6acf:0:4843:28a3:8d0e,US,Frankfurt,隧道,158 ms,236 Mbps,30208 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,73 ms,1 Mbps,251 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,161 ms,142 Mbps,18227 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,44 ms,59 Mbps,7640 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,131 ms,224 Mbps,28774 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,65 ms,59 Mbps,7678 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,78 ms,45 Mbps,5781 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,213 ms,15 Mbps,1940 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,204 ms,0 Mbps,83 kB/s
132.145.243.140,443,2a0b:21c0:1007:ca:0:56a3:f085:967b,DE,Frankfurt,隧道,139 ms,109 Mbps,14028 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,235 ms,64 Mbps,8271 kB/s
131.186.57.111,443,131.186.57.111,JP,Tokyo,中转,248 ms,56 Mbps,7227 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,85 ms,376 Mbps,48230 kB/s
192.9.158.188,443,2a09:bac5:6442:28::4:2ff,US,San Jose,隧道,87 ms,221 Mbps,28364 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,236 ms,82 Mbps,10547 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,121 ms,46 Mbps,6014 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,85 ms,332 Mbps,42598 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,125 ms,17 Mbps,2258 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,65 ms,423 Mbps,54169 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,128 ms,203 Mbps,26009 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,131 ms,22 Mbps,2877 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,214 ms,2 Mbps,310 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,211 ms,72 Mbps,9304 kB/s
140.238.18.74,443,140.238.18.74,KR,Seoul,中转,247 ms,32 Mbps,4101 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,65 ms,540 Mbps,69222 kB/s
141.144.235.116,443,2606:f240:f00:2be4:0:2462:9337:fb76,US,Frankfurt,隧道,178 ms,175 Mbps,22425 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,77 ms,313 Mbps,40140 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,194 ms,43 Mbps,5584 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,229 ms,86 Mbps,11059 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,276 ms,2 Mbps,357 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,135 ms,206 Mbps,26419 kB/s
141.144.199.157,443,2a0b:21c0:1007:c9:0:2089:1919:5a1,DE,Frankfurt,隧道,137 ms,191 Mbps,24473 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,114 ms,36 Mbps,4634 kB/s
168.138.209.31,443,2a09:bac1:3b60:138::16:1c1,JP,Tokyo,隧道,230 ms,35 Mbps,4512 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,126 ms,90 Mbps,11571 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,227 ms,64 Mbps,8279 kB/s
152.69.222.9,443,152.69.222.9,SG,Singapore,中转,231 ms,28 Mbps,3686 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,125 ms,35 Mbps,4494 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,104 ms,202 Mbps,25907 kB/s
193.122.119.192,443,128.14.104.155,SG,Singapore,隧道,255 ms,47 Mbps,6037 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,189 ms,38 Mbps,4948 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,218 ms,91 Mbps,11673 kB/s
129.154.60.48,443,129.154.60.48,KR,Seoul,中转,203 ms,102 Mbps,13107 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,215 ms,67 Mbps,8627 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,201 ms,29 Mbps,3722 kB/s
129.150.51.134,443,129.150.51.134,SG,Singapore,中转,253 ms,70 Mbps,8966 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,263 ms,29 Mbps,3727 kB/s
158.101.213.149,443,2a0b:21c0:1007:1cb:0:26f4:a857:5350,DE,Frankfurt,隧道,146 ms,146 Mbps,18739 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,236 ms,14 Mbps,1876 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,239 ms,95 Mbps,12185 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,86 ms,448 Mbps,57446 kB/s
193.122.126.36,443,2602:ffe4:407:21d9:0:7c95:fb9d:8169,SG,Singapore,隧道,293 ms,46 Mbps,5913 kB/s
132.145.80.224,443,132.145.80.224,KR,Seoul,中转,208 ms,75 Mbps,9663 kB/s
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,228 ms,38 Mbps,4887 kB/s
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,242 ms,38 Mbps,4968 kB/s
8.219.80.184,443,8.219.80.184,SG,Singapore,中转,286 ms,60 Mbps,7736 kB/s
146.56.41.215,443,146.56.41.215,KR,Seoul,中转,202 ms,81 Mbps,10444 kB/s
193.123.81.105,443,193.123.81.105,AE,Marseille,中转,226 ms,43 Mbps,5506 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,247 ms,76 Mbps,9844 kB/s
8.220.213.202,443,8.220.213.202,KR,Seoul,中转,173 ms,4 Mbps,518 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,252 ms,0 Mbps,6 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,152 ms,1 Mbps,156 kB/s
