中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,148 ms,189 Mbps,24268 kB/s,24268.0
141.147.110.251,443,163.123.193.9,DE,Frankfurt,隧道,146 ms,189 Mbps,24268 kB/s,24268.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,184 Mbps,23552 kB/s,23552.0
130.162.56.243,443,98.98.166.190,US,Frankfurt,隧道,105 ms,183 Mbps,23449 kB/s,23449.0
141.144.235.116,443,2606:f240:f00:2be4:0:2462:9337:fb76,US,Frankfurt,隧道,178 ms,175 Mbps,22425 kB/s,22425.0
158.101.213.149,443,2a0b:21c0:1007:1cb:0:26f4:a857:5350,DE,Frankfurt,隧道,146 ms,146 Mbps,18739 kB/s,18739.0
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,161 ms,142 Mbps,18227 kB/s,18227.0
143.47.253.139,443,2a0b:21c0:1007:1cb:0:1f13:9042:7a6e,DE,Frankfurt,隧道,122 ms,138 Mbps,17715 kB/s,17715.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,166 ms,136 Mbps,17510 kB/s,17510.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,190 ms,136 Mbps,17408 kB/s,17408.0
150.230.34.116,443,150.230.34.116,US,San Jose,中转,63 ms,120 Mbps,15360 kB/s,15360.0
47.74.13.33,443,47.74.13.33,JP,Tokyo,中转,169 ms,117 Mbps,15052 kB/s,15052.0
157.254.252.198,443,157.254.252.198,JP,Tokyo,中转,149 ms,111 Mbps,14233 kB/s,14233.0
138.2.105.213,443,138.2.105.213,SG,Singapore,中转,221 ms,110 Mbps,14131 kB/s,14131.0
132.145.243.140,443,2a0b:21c0:1007:ca:0:56a3:f085:967b,DE,Frankfurt,隧道,139 ms,109 Mbps,14028 kB/s,14028.0
141.147.101.130,443,2a0b:21c0:100a:1b1:0:bb94:849b:8a82,DE,Frankfurt,隧道,109 ms,107 Mbps,13721 kB/s,13721.0
129.154.60.48,443,129.154.60.48,KR,Seoul,中转,203 ms,102 Mbps,13107 kB/s,13107.0
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,183 ms,98 Mbps,12595 kB/s,12595.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,239 ms,95 Mbps,12185 kB/s,12185.0
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,195 ms,93 Mbps,11980 kB/s,11980.0
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,218 ms,91 Mbps,11673 kB/s,11673.0
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,126 ms,90 Mbps,11571 kB/s,11571.0
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,168 ms,89 Mbps,11468 kB/s,11468.0
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,170 ms,87 Mbps,11161 kB/s,11161.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,229 ms,86 Mbps,11059 kB/s,11059.0
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,236 ms,82 Mbps,10547 kB/s,10547.0
146.56.41.215,443,146.56.41.215,KR,Seoul,中转,202 ms,81 Mbps,10444 kB/s,10444.0
146.56.43.53,443,146.56.43.53,KR,Seoul,中转,207 ms,80 Mbps,10342 kB/s,10342.0
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,247 ms,76 Mbps,9844 kB/s,9844.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,43 ms,76 Mbps,9732 kB/s,9732.0
132.145.80.224,443,132.145.80.224,KR,Seoul,中转,208 ms,75 Mbps,9663 kB/s,9663.0
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,214 ms,75 Mbps,9609 kB/s,9609.0
64.110.79.188,443,64.110.79.188,KR,Seoul,中转,218 ms,74 Mbps,9590 kB/s,9590.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,212 ms,73 Mbps,9458 kB/s,9458.0
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,211 ms,72 Mbps,9304 kB/s,9304.0
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,235 ms,72 Mbps,9249 kB/s,9249.0
158.101.142.100,443,2a09:bac5:4428:dc::16:22a,JP,Tokyo,隧道,257 ms,71 Mbps,9128 kB/s,9128.0
138.2.66.92,443,138.2.66.92,SG,Singapore,中转,215 ms,70 Mbps,9045 kB/s,9045.0
129.150.51.134,443,129.150.51.134,SG,Singapore,中转,253 ms,70 Mbps,8966 kB/s,8966.0
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,19 ms,68 Mbps,8821 kB/s,8821.0
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,215 ms,67 Mbps,8627 kB/s,8627.0
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,22 ms,65 Mbps,8396 kB/s,8396.0
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,199 ms,65 Mbps,8320 kB/s,8320.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,227 ms,64 Mbps,8279 kB/s,8279.0
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,235 ms,64 Mbps,8271 kB/s,8271.0
140.83.36.122,443,140.83.36.122,JP,Tokyo,中转,225 ms,62 Mbps,7964 kB/s,7964.0
8.219.80.184,443,8.219.80.184,SG,Singapore,中转,286 ms,60 Mbps,7736 kB/s,7736.0
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,65 ms,59 Mbps,7678 kB/s,7678.0
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,44 ms,59 Mbps,7640 kB/s,7640.0
152.70.97.78,443,152.70.97.78,JP,Tokyo,中转,244 ms,57 Mbps,7419 kB/s,7419.0
129.159.34.122,443,129.159.34.122,US,San Jose,中转,64 ms,57 Mbps,7388 kB/s,7388.0
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,217 ms,57 Mbps,7360 kB/s,7360.0
141.147.161.58,443,141.147.161.58,JP,Tokyo,中转,217 ms,56 Mbps,7243 kB/s,7243.0
131.186.57.111,443,131.186.57.111,JP,Tokyo,中转,248 ms,56 Mbps,7227 kB/s,7227.0
146.56.41.187,443,2602:ffe4:407:21d9:0:b47b:6f3e:6ce1,SG,Singapore,隧道,277 ms,54 Mbps,7028 kB/s,7028.0
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,48 ms,53 Mbps,6872 kB/s,6872.0
193.122.119.192,443,128.14.104.155,SG,Singapore,隧道,255 ms,47 Mbps,6037 kB/s,6037.0
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,121 ms,46 Mbps,6014 kB/s,6014.0
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,82 ms,46 Mbps,5950 kB/s,5950.0
193.122.126.36,443,2602:ffe4:407:21d9:0:7c95:fb9d:8169,SG,Singapore,隧道,293 ms,46 Mbps,5913 kB/s,5913.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,113 ms,45 Mbps,5787 kB/s,5787.0
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,78 ms,45 Mbps,5781 kB/s,5781.0
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,57 ms,44 Mbps,5727 kB/s,5727.0
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,108 ms,44 Mbps,5654 kB/s,5654.0
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,194 ms,43 Mbps,5584 kB/s,5584.0
193.123.81.105,443,193.123.81.105,AE,Marseille,中转,226 ms,43 Mbps,5506 kB/s,5506.0
132.226.31.178,443,2a09:bac1:76a0:e18::26b:90,US,Los Angeles,隧道,58 ms,42 Mbps,5429 kB/s,5429.0
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,125 ms,42 Mbps,5385 kB/s,5385.0
152.69.171.12,443,152.69.171.12,AU,Sydney,中转,193 ms,40 Mbps,5183 kB/s,5183.0
47.88.15.127,443,47.88.15.127,US,San Jose,中转,52 ms,40 Mbps,5180 kB/s,5180.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,227 ms,39 Mbps,5074 kB/s,5074.0
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,242 ms,38 Mbps,4968 kB/s,4968.0
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,189 ms,38 Mbps,4948 kB/s,4948.0
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,228 ms,38 Mbps,4887 kB/s,4887.0
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,196 ms,37 Mbps,4854 kB/s,4854.0
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,73 ms,37 Mbps,4846 kB/s,4846.0
141.145.217.226,443,141.145.217.226,FR,Paris,中转,114 ms,36 Mbps,4634 kB/s,4634.0
140.83.81.109,443,140.83.81.109,JP,Osaka,中转,236 ms,35 Mbps,4538 kB/s,4538.0
168.138.209.31,443,2a09:bac1:3b60:138::16:1c1,JP,Tokyo,隧道,230 ms,35 Mbps,4512 kB/s,4512.0
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,125 ms,35 Mbps,4494 kB/s,4494.0
130.162.144.191,443,2a09:bac5:4753:1482::20b:8c,KR,Seoul,隧道,198 ms,32 Mbps,4173 kB/s,4173.0
140.238.18.74,443,140.238.18.74,KR,Seoul,中转,247 ms,32 Mbps,4101 kB/s,4101.0
140.238.23.148,443,2a09:bac1:3f00:90::299:53,KR,Seoul,隧道,215 ms,30 Mbps,3950 kB/s,3950.0
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,258 ms,30 Mbps,3944 kB/s,3944.0
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,263 ms,29 Mbps,3727 kB/s,3727.0
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,201 ms,29 Mbps,3722 kB/s,3722.0
152.69.222.9,443,152.69.222.9,SG,Singapore,中转,231 ms,28 Mbps,3686 kB/s,3686.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,260 ms,26 Mbps,3435 kB/s,3435.0
168.138.162.187,443,2603:c024:4509:ba23:441b:bc2a:e30f:2c83,SG,Singapore,隧道,214 ms,24 Mbps,3104 kB/s,3104.0
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,131 ms,22 Mbps,2877 kB/s,2877.0
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,125 ms,17 Mbps,2258 kB/s,2258.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,213 ms,15 Mbps,1940 kB/s,1940.0
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,236 ms,14 Mbps,1876 kB/s,1876.0
47.89.244.253,443,47.89.244.253,US,San Jose,中转,83 ms,10 Mbps,1396 kB/s,1396.0
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,32 ms,5 Mbps,746 kB/s,746.0
8.220.213.202,443,8.220.213.202,KR,Seoul,中转,173 ms,4 Mbps,518 kB/s,518.0
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,242 ms,2 Mbps,368 kB/s,368.0
